,yrsurv,age,gender,irstrata,fearfail,suskill,opport,knowent,discent,exreason,bstart
8149,2010,27,1,6,1,1,1,1,0,0,1
8150,2010,21,1,6,1,1,1,1,0,0,1
8161,2010,25,1,6,-1,-1,-1,2,0,0,1
8164,2010,39,1,6,1,1,-1,1,0,0,1
8165,2010,30,1,6,2,2,-1,2,0,0,1
8167,2010,35,1,6,2,1,-1,1,0,0,1
8168,2010,27,1,6,2,1,2,2,0,0,1
8170,2010,30,1,6,2,1,-1,1,0,0,1
8171,2010,25,1,6,1,1,1,2,0,0,1
8173,2010,35,1,6,-1,2,2,2,0,0,1
8175,2010,22,1,6,-1,-1,2,2,0,0,1
8178,2010,35,1,6,2,1,-1,1,0,0,1
8180,2010,35,1,6,1,2,-1,2,0,0,1
8182,2010,41,1,6,-1,2,2,2,0,0,1
8185,2010,21,1,6,2,2,-1,2,0,0,1
8188,2010,24,1,6,2,1,2,2,0,0,1
8193,2010,32,2,6,1,1,1,2,0,0,1
8194,2010,24,1,6,2,-1,-1,2,0,0,1
8196,2010,23,1,6,1,-1,-1,2,0,0,1
8197,2010,18,1,6,2,2,1,2,0,0,1
8201,2010,25,1,6,2,1,1,2,0,0,1
8203,2010,42,2,6,2,1,-1,2,0,0,1
8206,2010,44,1,6,2,1,2,1,0,0,2
8207,2010,27,1,6,-1,2,-1,2,0,0,1
8210,2010,57,2,6,2,-1,-1,2,0,0,2
8211,2010,23,1,6,2,1,2,2,0,0,1
8212,2010,26,2,6,1,1,2,2,0,0,1
8229,2010,42,1,6,2,2,2,2,0,0,2
8230,2010,35,1,6,2,1,2,1,0,0,2
8247,2010,47,1,6,2,1,2,2,0,0,2
8249,2010,34,1,6,2,-1,2,2,0,0,2
8262,2010,30,1,6,1,2,2,2,0,0,2
8275,2010,35,1,6,2,1,2,1,0,0,2
8283,2010,49,1,6,1,2,2,2,0,0,2
8284,2010,41,1,6,1,1,2,2,0,0,2
8285,2010,32,1,6,2,2,2,2,0,0,2
8292,2010,36,2,6,2,2,2,-1,0,0,2
8293,2010,21,1,6,2,1,2,2,0,0,1
8294,2010,26,1,6,2,1,2,2,0,0,1
8295,2010,35,1,6,2,1,2,2,0,0,1
8296,2010,22,1,6,2,1,-1,1,0,0,1
8297,2010,48,1,6,2,1,2,1,0,0,1
8298,2010,23,1,6,2,1,-1,1,0,0,1
8300,2010,45,1,6,2,1,2,2,0,0,1
8308,2010,18,1,6,2,1,1,2,0,0,1
8314,2010,22,1,6,2,-1,2,2,0,0,1
8320,2010,30,1,6,2,1,-1,1,0,0,1
8321,2010,29,1,6,2,1,2,2,0,0,1
8322,2010,51,1,6,2,2,2,1,0,0,1
8331,2010,19,2,6,-1,2,-1,2,0,0,1
8351,2010,21,1,6,2,1,-1,1,0,0,1
8352,2010,32,1,6,2,1,2,2,0,0,1
8359,2010,31,1,6,-1,1,-1,2,0,0,1
8366,2010,33,1,6,2,1,-1,1,1,6,1
8369,2010,24,1,6,2,1,2,2,0,0,1
8386,2010,31,1,1,1,1,1,2,0,0,1
8387,2010,50,1,1,1,1,1,2,0,0,1
8388,2010,57,1,1,2,1,1,1,0,0,1
8397,2010,34,1,1,1,1,2,2,0,0,1
8398,2010,21,1,1,2,1,1,1,0,0,1
8400,2010,26,2,1,2,1,1,1,0,0,1
8402,2010,40,1,1,2,1,1,1,0,0,1
8403,2010,30,1,1,2,1,2,1,0,0,1
8421,2010,45,1,1,2,1,2,2,0,0,2
8423,2010,30,1,1,1,1,2,2,0,0,1
8424,2010,30,1,1,1,2,2,2,0,0,1
8434,2010,31,1,1,2,1,1,1,0,0,2
8444,2010,29,1,1,2,1,2,1,0,0,2
8446,2010,38,1,1,1,2,2,2,0,0,2
8456,2010,35,1,5,2,1,2,1,0,0,1
8460,2010,56,1,5,1,2,2,-1,0,0,2
8463,2010,45,1,5,1,2,-1,2,0,0,1
8467,2010,22,1,5,2,1,-1,2,0,0,2
8471,2010,30,1,5,1,1,1,2,0,0,1
8472,2010,24,2,5,1,1,1,1,0,0,1
8473,2010,41,1,5,2,1,1,2,0,0,1
8475,2010,31,1,5,2,2,2,1,0,0,1
8476,2010,40,1,5,2,2,2,2,0,0,2
8478,2010,38,1,5,2,2,2,2,0,0,1
8479,2010,43,1,5,2,1,1,1,0,0,2
8481,2010,41,1,5,1,1,2,2,0,0,2
8485,2010,40,1,5,2,2,2,2,0,0,1
8486,2010,30,1,5,2,2,1,1,0,0,2
8487,2010,42,1,5,2,1,1,1,0,0,1
8488,2010,35,2,5,2,1,2,1,0,0,1
8491,2010,24,1,5,2,1,-1,2,0,0,2
8492,2010,20,1,5,2,1,2,1,0,0,1
8495,2010,24,1,5,2,1,1,1,0,0,1
8497,2010,46,2,5,2,1,-1,1,0,0,1
8504,2010,36,2,5,1,1,1,2,0,0,2
8507,2010,30,1,5,2,1,1,1,0,0,1
8509,2010,49,1,5,1,1,1,1,0,0,1
8511,2010,22,2,5,2,1,2,2,0,0,2
8521,2010,28,1,5,2,1,1,1,1,8,1
8524,2010,42,1,5,2,1,1,1,0,0,2
8528,2010,39,1,5,2,1,2,2,0,0,2
8529,2010,29,1,5,2,1,1,2,0,0,1
8531,2010,26,1,5,2,2,2,2,1,8,1
8532,2010,43,1,5,2,2,1,2,0,0,2
8533,2010,26,1,5,2,1,1,1,0,0,2
8537,2010,27,1,5,1,1,2,1,0,0,1
8538,2010,33,2,5,1,2,2,1,1,8,2
8541,2010,27,1,5,1,2,2,2,0,0,2
8542,2010,23,1,5,1,1,2,1,0,0,1
8543,2010,25,2,5,2,1,1,1,0,0,1
8547,2010,19,1,5,1,2,2,1,0,0,1
8549,2010,25,2,5,2,1,1,2,0,0,1
8551,2010,28,2,5,2,2,2,2,0,0,1
8557,2010,31,1,5,2,1,2,1,0,0,-1
8559,2010,24,1,5,1,2,2,1,1,6,1
8561,2010,39,1,5,2,2,1,2,1,5,2
8562,2010,27,1,5,2,1,1,1,0,0,2
8565,2010,22,1,5,1,2,2,1,0,0,2
8566,2010,30,1,5,2,1,1,2,0,0,1
8570,2010,25,1,5,2,2,1,1,0,0,2
8573,2010,24,2,5,2,2,-1,2,0,0,2
8576,2010,20,1,5,2,1,1,1,0,0,1
8577,2010,37,1,5,2,1,2,2,0,0,2
8586,2010,24,2,5,2,1,2,1,0,0,1
8594,2010,30,2,5,1,2,2,2,0,0,1
8595,2010,25,2,5,2,1,2,1,1,9,2
8596,2010,32,1,5,1,1,2,2,0,0,2
8598,2010,32,1,5,2,1,1,1,0,0,1
8611,2010,43,2,5,2,1,2,1,0,0,1
8618,2010,27,1,6,2,1,2,1,1,0,1
8623,2010,37,1,6,2,1,2,1,0,0,1
8624,2010,28,1,6,1,1,2,1,1,8,1
8625,2010,40,1,6,2,-1,-1,1,0,0,2
8626,2010,34,1,6,2,1,2,1,0,0,2
8630,2010,21,1,6,2,2,2,1,0,0,1
8633,2010,34,2,6,2,1,1,2,0,0,2
8643,2010,27,1,6,2,1,2,1,0,0,2
8646,2010,40,1,6,2,1,2,2,0,0,2
8651,2010,37,1,6,1,2,2,2,0,0,2
8653,2010,26,1,6,2,1,2,1,0,0,2
8655,2010,30,1,6,2,2,1,2,0,0,2
8657,2010,41,1,6,2,2,1,1,0,0,2
8682,2010,30,1,6,2,1,1,1,0,0,1
8684,2010,44,1,6,2,2,2,1,1,2,2
8686,2010,56,1,6,2,2,-1,1,0,0,2
8688,2010,39,1,6,2,2,2,1,0,0,2
8695,2010,25,2,1,1,1,-1,2,0,0,1
8697,2010,43,1,1,1,1,2,2,0,0,2
8698,2010,27,2,1,1,1,1,2,0,0,1
8699,2010,26,1,1,1,1,2,1,0,0,1
8704,2010,19,1,1,2,1,1,2,0,0,1
8705,2010,30,2,1,1,1,2,2,0,0,1
8706,2010,38,2,1,2,2,2,1,0,0,2
8707,2010,25,2,1,-1,-1,2,2,0,0,1
8708,2010,18,2,1,1,1,1,1,0,0,1
8709,2010,40,2,1,1,-1,-1,2,0,0,1
8712,2010,50,1,1,1,1,-1,1,0,0,1
8713,2010,18,1,1,2,2,2,2,0,0,2
8716,2010,36,2,1,2,1,-1,2,0,0,1
8719,2010,40,2,1,2,1,1,2,0,0,1
8721,2010,25,1,1,1,1,2,1,0,0,1
8723,2010,40,1,1,-1,2,2,2,0,0,1
8726,2010,22,1,1,1,1,-1,2,0,0,1
8727,2010,51,2,1,1,1,-1,2,0,0,2
8728,2010,56,1,1,2,2,1,2,0,0,2
8738,2010,41,1,1,2,1,1,2,0,0,2
8744,2010,26,2,1,2,2,2,2,0,0,2
8745,2010,34,2,1,2,1,2,2,0,0,2
8746,2010,38,1,1,2,2,2,2,0,0,2
8747,2010,38,2,1,1,1,2,1,0,0,1
8748,2010,45,1,1,2,1,-1,2,0,0,2
8749,2010,20,2,1,1,1,2,2,0,0,2
8750,2010,32,1,1,1,1,1,1,0,0,1
8751,2010,25,1,1,1,1,2,1,0,0,1
8752,2010,26,1,1,2,1,1,1,0,0,2
8753,2010,42,2,1,1,1,1,1,0,0,1
8754,2010,45,1,1,2,1,2,2,0,0,1
8759,2010,45,1,1,2,1,2,1,0,0,1
8761,2010,45,1,1,1,1,2,2,0,0,2
8764,2010,48,1,1,2,1,2,1,0,0,2
8766,2010,35,2,1,1,1,2,1,0,0,1
8767,2010,49,1,1,1,1,2,1,0,0,1
8768,2010,30,1,1,1,1,2,1,0,0,2
8770,2010,42,2,1,2,1,2,1,0,0,1
8771,2010,25,1,1,2,1,-1,1,0,0,1
8774,2010,30,2,6,2,1,1,1,0,0,2
8775,2010,30,1,6,2,2,2,2,0,0,2
8777,2010,36,1,6,2,1,2,1,0,0,2
8781,2010,30,1,6,2,1,2,1,0,0,2
8784,2010,30,1,6,1,1,2,1,0,0,2
8786,2010,25,1,6,1,1,2,1,0,0,2
8787,2010,37,2,6,2,1,2,1,0,0,2
8788,2010,47,1,6,2,2,2,1,1,5,2
8789,2010,35,1,6,2,1,2,1,0,0,2
8790,2010,20,1,6,2,1,2,1,0,0,2
8791,2010,26,1,6,2,1,1,1,0,0,2
8793,2010,36,1,6,2,1,2,1,0,0,2
8795,2010,21,1,6,2,1,2,1,0,0,2
8798,2010,24,1,6,2,1,1,1,0,0,2
8799,2010,48,1,6,1,1,1,1,0,0,2
8800,2010,30,1,6,2,1,2,1,0,0,2
8801,2010,47,1,6,2,1,1,1,0,0,2
8802,2010,32,1,6,2,-2,1,2,0,0,1
8803,2010,48,1,6,1,2,1,2,0,0,2
8804,2010,43,1,6,1,2,2,1,0,0,2
8808,2010,22,1,6,2,1,1,1,0,0,2
8817,2010,25,1,6,2,1,2,1,0,0,2
8818,2010,30,1,6,2,1,1,1,0,0,2
8819,2010,27,1,6,2,1,2,1,1,4,2
8822,2010,30,1,6,2,1,1,1,0,0,2
8828,2010,30,1,6,2,1,1,1,0,0,2
8829,2010,29,1,6,2,1,2,2,0,0,2
8830,2010,24,1,6,2,1,1,1,0,0,2
8831,2010,30,1,6,2,1,-1,-1,0,0,2
8832,2010,26,1,6,-1,2,2,1,0,0,2
8834,2010,35,1,6,2,2,2,2,0,0,2
8839,2010,41,1,6,1,2,2,2,0,0,2
8842,2010,32,2,6,2,2,1,1,0,0,2
8847,2010,24,1,6,2,2,2,1,0,0,2
8849,2010,28,1,6,2,2,2,1,0,0,2
8850,2010,42,2,6,2,2,2,1,0,0,2
8852,2010,27,1,3,2,2,2,1,0,0,2
8855,2010,24,1,3,1,2,2,2,0,0,2
8856,2010,27,1,3,1,1,2,1,0,0,2
8863,2010,30,1,3,2,1,1,1,0,0,2
8867,2010,24,2,3,1,1,1,1,0,0,2
8869,2010,51,1,3,1,2,1,1,0,0,2
8872,2010,27,1,3,2,2,1,1,1,5,-2
8873,2010,54,1,3,2,1,1,1,0,0,1
8879,2010,60,1,3,2,1,2,1,0,0,2
8880,2010,40,2,3,2,2,2,1,0,0,2
8881,2010,27,1,3,2,2,2,1,0,0,2
8884,2010,23,1,3,1,1,1,1,0,0,2
8886,2010,22,1,3,2,1,1,1,0,0,2
8889,2010,31,1,3,1,2,1,1,0,0,2
8895,2010,30,1,3,2,1,1,1,0,0,2
8905,2010,30,1,3,2,2,2,2,0,0,2
8906,2010,30,1,3,2,2,2,2,0,0,2
8908,2010,30,1,3,2,1,-1,2,0,0,2
8910,2010,30,1,3,2,1,-1,-1,0,0,2
8915,2010,24,1,3,2,1,2,1,0,0,2
8916,2010,29,1,3,1,1,1,1,1,8,2
8919,2010,27,2,3,1,1,1,1,0,0,2
8920,2010,38,1,3,2,1,2,1,0,0,2
8925,2010,32,1,3,2,1,2,2,0,0,2
8927,2010,30,1,3,2,1,1,1,0,0,2
8932,2010,21,1,3,2,-1,2,2,1,8,2
8936,2010,50,1,3,2,1,2,2,0,0,1
8941,2010,27,1,3,2,1,1,1,0,0,2
8945,2010,50,1,3,2,1,2,1,0,0,2
8952,2010,58,1,3,2,1,2,-1,0,0,2
8954,2010,26,1,3,2,1,2,1,1,5,2
8957,2010,31,1,3,2,2,1,2,0,0,2
8960,2010,23,1,3,1,1,2,1,1,8,2
8964,2010,25,1,3,1,1,2,1,0,0,2
8966,2010,50,1,3,2,2,1,2,0,0,2
8967,2010,49,1,3,2,2,1,2,0,0,2
8968,2010,31,1,3,2,-1,-1,1,0,0,2
8971,2010,47,1,3,2,2,2,1,0,0,2
8975,2010,41,1,3,2,1,2,1,0,0,2
8985,2010,40,1,3,2,-1,2,1,0,0,2
8990,2010,29,1,3,-1,1,2,1,0,0,2
8991,2010,52,1,3,2,1,2,1,0,0,2
8996,2010,31,2,3,2,1,2,2,0,0,1
9000,2010,25,1,3,2,2,1,2,0,0,2
9003,2010,41,2,3,2,1,2,1,0,0,2
9006,2010,41,1,3,2,2,1,2,1,8,1
9007,2010,64,1,3,-1,1,2,1,0,0,2
9009,2010,33,2,3,1,2,-1,2,0,0,2
9016,2010,32,1,3,2,2,2,1,1,8,1
9023,2010,34,1,3,2,1,-1,2,1,2,2
9025,2010,25,1,3,2,1,2,-1,1,6,1
9027,2010,30,1,3,2,2,2,2,0,0,2
9031,2010,57,1,3,2,1,-1,1,0,0,2
9032,2010,30,1,3,2,2,2,2,0,0,1
9043,2010,26,1,3,2,1,1,1,1,2,1
9046,2010,35,1,3,2,1,-1,-1,0,0,1
9048,2010,18,1,3,2,1,1,1,1,2,1
9050,2010,32,1,3,2,1,1,1,0,0,1
9052,2010,23,1,3,1,1,2,2,1,5,2
9057,2010,44,1,3,2,1,2,2,0,0,2
9059,2010,30,2,3,1,1,2,1,0,0,1
9063,2010,25,1,3,1,1,-1,1,0,0,1
9065,2010,51,1,3,2,1,2,1,0,0,2
9069,2010,40,1,3,2,1,1,2,0,0,2
9072,2010,32,1,3,2,1,-1,2,0,0,2
9074,2010,35,1,3,1,1,1,1,0,0,2
9076,2010,45,2,3,2,1,-1,1,0,0,2
9077,2010,27,1,3,2,2,2,2,0,0,2
9080,2010,29,1,3,2,1,2,1,1,9,2
9083,2010,53,1,3,1,1,-1,1,0,0,2
9084,2010,18,2,3,1,1,1,1,0,0,1
9085,2010,25,2,3,1,1,1,1,0,0,2
9087,2010,44,1,3,2,1,-1,1,0,0,1
9088,2010,53,2,3,2,1,1,2,0,0,2
9089,2010,27,1,3,2,1,2,1,0,0,1
9090,2010,31,1,3,2,1,1,1,1,8,1
9093,2010,32,1,3,2,1,1,1,0,0,2
9096,2010,57,1,3,2,1,1,1,0,0,2
9097,2010,53,1,3,2,1,1,1,0,0,2
9099,2010,23,1,3,2,2,1,1,0,0,2
9103,2010,50,2,3,2,1,-1,2,0,0,2
9105,2010,38,1,3,2,1,1,1,0,0,2
9106,2010,32,2,3,2,1,1,1,0,0,2
9107,2010,37,2,3,2,2,-1,1,0,0,2
9111,2010,46,1,3,1,1,1,1,0,0,2
9112,2010,32,2,3,2,1,1,1,0,0,2
9113,2010,45,1,3,2,1,1,1,0,0,2
9115,2010,23,1,3,2,1,1,1,0,0,2
9117,2010,25,1,3,2,1,1,1,0,0,2
9121,2010,44,1,3,2,1,1,1,0,0,2
9128,2010,33,1,3,1,1,1,1,0,0,2
9130,2010,48,1,3,2,2,1,1,0,0,2
9131,2010,26,1,3,2,1,1,1,0,0,2
9134,2010,26,1,3,2,1,1,1,0,0,2
9137,2010,36,1,3,2,1,1,1,0,0,2
9138,2010,43,1,3,1,1,1,1,0,0,2
9141,2010,43,1,3,2,2,1,1,0,0,2
9144,2010,40,2,3,2,1,-1,1,0,0,2
9146,2010,48,1,3,2,2,-1,1,0,0,2
9153,2010,46,2,3,2,1,1,1,0,0,2
9163,2010,43,1,3,2,1,1,1,0,0,2
9170,2010,40,2,3,2,1,1,1,0,0,2
9171,2010,48,2,3,2,2,-1,1,0,0,2
9173,2010,42,1,2,2,2,2,2,0,0,1
9175,2010,40,1,2,2,2,2,-1,0,0,1
9176,2010,59,1,2,2,2,2,2,0,0,1
9180,2010,45,2,2,1,1,2,2,0,0,2
9181,2010,38,1,2,2,2,-1,2,0,0,2
9183,2010,42,1,2,2,2,2,2,0,0,2
9185,2010,29,2,2,1,1,1,2,0,0,2
9187,2010,49,2,2,2,2,2,2,0,0,2
9188,2010,45,2,2,2,2,1,1,0,0,2
9190,2010,55,1,2,-1,2,2,2,1,8,2
9197,2010,38,1,2,2,2,2,1,0,0,2
9203,2010,22,2,2,2,2,2,2,0,0,1
9207,2010,39,1,2,2,2,2,1,1,8,2
9209,2010,39,2,2,-1,-1,-1,-1,0,0,2
9211,2010,28,2,2,1,1,2,1,0,0,2
9212,2010,48,1,2,2,2,2,1,1,9,1
9213,2010,31,2,2,2,2,2,2,0,0,2
9214,2010,51,1,2,2,2,2,1,1,6,2
9217,2010,39,2,2,1,2,2,-1,0,0,2
9219,2010,34,1,2,2,2,2,2,0,0,1
9221,2010,49,2,2,2,2,2,2,0,0,1
9223,2010,27,1,2,2,2,1,1,1,0,2
9225,2010,30,2,2,1,1,1,1,0,0,1
9228,2010,38,2,2,2,2,2,1,0,0,2
9229,2010,49,2,2,2,2,2,1,0,0,1
9230,2010,29,1,2,2,2,2,1,0,0,1
9237,2010,53,1,2,2,2,2,1,1,5,2
9239,2010,45,1,2,1,1,1,1,0,0,2
9241,2010,29,1,2,2,2,2,2,0,0,2
9246,2010,51,1,2,2,2,2,1,0,0,2
9250,2010,51,1,2,1,1,2,1,0,0,2
9251,2010,49,1,2,2,2,1,2,1,6,2
9259,2010,27,1,5,2,2,2,2,0,0,2
9268,2010,25,1,5,-1,-1,-1,2,0,0,2
9270,2010,27,1,5,-1,-1,2,-1,0,0,2
9278,2010,39,1,5,2,2,-1,-1,0,0,1
9279,2010,41,1,5,-1,-1,-1,2,0,0,1
9286,2010,64,1,5,-1,-1,-1,-1,0,0,2
9287,2010,25,1,5,-1,-1,-1,2,0,0,1
9291,2010,64,1,5,-1,-1,2,2,0,0,2
9295,2010,30,2,5,-1,-1,-1,2,0,0,2
9296,2010,27,1,5,2,2,2,2,0,0,2
9297,2010,30,1,5,-1,-1,-1,-1,0,0,1
9298,2010,54,1,5,-1,-1,2,-1,0,0,1
9299,2010,30,1,5,2,2,2,-1,0,0,2
9303,2010,21,1,5,2,2,2,2,0,0,2
9305,2010,62,1,5,2,2,2,2,0,0,2
9311,2010,40,1,5,2,2,2,-1,0,0,2
9315,2010,50,1,5,-1,-1,-1,-1,0,0,1
9319,2010,35,1,5,2,2,2,-1,0,0,2
9322,2010,34,2,5,-1,-1,-1,-1,0,0,2
9323,2010,36,2,5,2,2,2,2,0,0,2
9324,2010,25,1,5,2,2,2,2,0,0,1
9325,2010,22,1,5,2,2,2,2,0,0,1
9326,2010,22,1,5,2,1,-1,-1,0,0,2
9327,2010,24,1,5,1,1,1,2,0,0,2
9328,2010,30,1,5,-1,-1,-1,2,0,0,2
9332,2010,35,1,2,2,2,2,1,0,0,2
9333,2010,30,1,2,2,2,2,2,0,0,2
9336,2010,50,2,2,-1,-1,-1,2,1,2,2
9337,2010,18,2,2,2,2,2,2,0,0,2
9344,2010,60,1,2,2,1,1,2,0,0,2
9346,2010,39,2,2,2,2,1,2,1,6,1
9349,2010,38,1,2,2,2,2,1,0,0,2
9350,2010,20,1,2,2,1,2,2,0,0,1
9352,2010,45,1,2,2,2,2,-1,0,0,1
9355,2010,30,1,2,2,1,2,2,0,0,2
9356,2010,20,1,2,2,-1,1,2,0,0,2
9357,2010,29,1,2,-1,2,-1,2,0,0,2
9359,2010,36,1,2,-1,-1,2,1,1,4,2
9361,2010,35,1,2,2,2,1,2,0,0,2
9364,2010,48,1,2,2,1,-1,2,1,2,2
9372,2010,34,1,2,2,1,1,2,0,0,2
9374,2010,27,1,2,-1,-1,-1,-1,0,0,1
9375,2010,26,1,2,1,2,-1,-1,0,0,2
9376,2010,35,1,2,1,2,-1,-1,0,0,2
9377,2010,29,1,2,-1,-1,2,2,0,0,2
9378,2010,38,1,2,1,2,2,1,0,0,2
9381,2010,42,1,2,2,1,1,1,0,0,1
9382,2010,47,1,2,2,2,-1,-1,0,0,2
9383,2010,62,1,2,-1,-1,-1,2,0,0,2
9384,2010,27,1,2,2,1,1,1,0,0,1
9385,2010,18,1,2,2,2,1,2,0,0,1
9386,2010,39,1,2,2,1,1,1,0,0,1
9387,2010,35,1,2,1,1,1,2,0,0,2
9388,2010,23,1,2,2,2,2,2,0,0,2
9389,2010,40,1,2,2,1,2,2,0,0,2
9393,2010,46,1,2,2,2,2,2,0,0,2
9395,2010,26,1,2,2,2,2,2,0,0,2
9396,2010,34,1,2,-1,2,2,2,0,0,2
9397,2010,40,2,2,2,2,2,2,0,0,2
9402,2010,30,1,2,2,2,2,2,0,0,2
9403,2010,20,1,2,2,2,2,2,0,0,2
9404,2010,45,1,2,2,2,2,1,0,0,2
9405,2010,52,1,2,-1,-1,2,2,1,4,2
9407,2010,43,1,2,2,2,1,2,0,0,2
9408,2010,28,1,2,1,1,1,2,0,0,2
9409,2010,60,1,2,2,2,2,2,0,0,2
9413,2010,30,1,3,2,1,-1,2,0,0,2
9414,2010,49,1,3,-1,2,2,2,0,0,2
9424,2010,40,1,3,2,2,2,2,0,0,2
9426,2010,43,1,3,2,1,2,2,0,0,2
9432,2010,28,1,3,2,1,2,-1,0,0,2
9436,2010,29,1,3,2,1,1,2,0,0,1
9443,2010,57,1,3,1,1,2,2,0,0,2
9448,2010,57,1,3,1,1,2,2,0,0,2
9466,2010,38,1,3,2,1,2,2,0,0,2
9483,2010,32,1,3,2,1,2,2,0,0,2
9487,2010,25,1,3,1,1,2,1,0,0,2
9492,2010,56,1,2,1,1,1,1,0,0,2
9493,2010,23,1,2,-2,-2,-1,2,0,0,2
9495,2010,60,1,2,2,1,2,1,0,0,2
9499,2010,31,1,2,1,2,1,1,0,0,2
9508,2010,29,1,2,2,1,1,1,0,0,2
9515,2010,22,1,2,2,1,1,1,0,0,2
9522,2010,46,1,2,2,1,1,1,0,0,2
9527,2010,29,2,2,1,1,-1,1,0,0,2
9529,2010,39,1,2,-2,1,2,2,0,0,2
9533,2010,23,1,2,2,1,1,1,0,0,2
9539,2010,25,1,2,2,1,1,1,0,0,2
9542,2010,26,1,2,1,1,2,1,0,0,2
9544,2010,36,2,2,2,1,1,1,0,0,2
9545,2010,21,1,2,2,1,1,1,0,0,2
9546,2010,22,1,2,2,2,1,1,0,0,2
9570,2010,30,1,2,2,1,1,1,0,0,2
9577,2010,44,1,2,1,1,-1,1,0,0,2
9579,2010,57,1,2,2,1,-1,1,0,0,1
9607,2010,44,2,2,2,2,1,1,0,0,2
9617,2010,55,1,2,2,2,1,2,0,0,1
9619,2010,30,1,2,2,1,1,1,0,0,1
9620,2010,40,1,2,2,-2,1,1,0,0,2
9635,2010,38,2,2,2,1,2,1,0,0,2
9636,2010,26,1,2,-2,1,2,1,0,0,2
9638,2010,60,1,2,2,1,2,1,0,0,1
9642,2010,25,1,2,2,1,2,1,0,0,1
9643,2010,39,1,2,2,1,2,-1,0,0,2
9646,2010,48,1,2,2,-1,-1,2,0,0,2
9657,2010,25,1,1,2,1,1,2,0,0,1
9668,2010,43,1,1,2,1,1,2,0,0,1
9687,2010,27,2,1,2,1,1,1,0,0,1
9697,2010,28,1,1,2,1,1,2,0,0,1
9700,2010,29,1,1,2,1,2,2,0,0,1
9704,2010,42,1,1,2,1,1,1,0,0,1
9714,2010,30,1,1,2,1,1,1,0,0,1
9730,2010,26,1,1,2,1,1,1,0,0,1
9738,2010,32,1,1,1,1,2,2,0,0,1
9739,2010,32,1,1,2,1,2,2,0,0,1
9743,2010,29,1,1,1,1,2,2,0,0,1
9746,2010,36,1,1,1,1,2,2,0,0,1
9752,2010,48,2,1,1,1,2,1,0,0,1
9756,2010,41,1,1,1,1,-1,1,0,0,1
9760,2010,45,1,1,1,1,-1,2,0,0,1
9764,2010,28,1,1,1,1,2,2,0,0,1
9767,2010,45,1,1,2,1,1,1,0,0,1
9768,2010,44,1,1,2,1,1,2,0,0,1
9772,2010,27,1,1,1,1,2,1,0,0,1
9778,2010,53,1,1,2,1,2,1,0,0,1
9780,2010,40,1,1,2,1,2,1,0,0,1
9786,2010,43,1,1,1,1,1,2,0,0,1
9791,2010,37,1,1,2,1,2,1,0,0,1
9796,2010,27,1,1,2,1,2,1,0,0,1
9825,2010,48,1,1,1,1,-1,1,0,0,1
9832,2010,38,2,1,1,1,-1,2,0,0,1
9836,2010,25,1,1,1,1,-1,2,0,0,1
9837,2010,29,1,1,2,1,-1,1,0,0,1
9859,2010,32,1,1,1,1,2,2,0,0,1
9863,2010,42,1,1,1,1,-1,1,1,5,1
9866,2010,33,1,1,1,1,-1,2,0,0,1
9877,2010,40,1,1,1,1,-1,1,0,0,1
9883,2010,50,1,1,1,1,1,2,0,0,1
9884,2010,25,1,1,2,1,1,1,0,0,1
9889,2010,39,1,1,1,1,1,1,0,0,1
9935,2010,55,1,1,2,1,2,2,0,0,1
9940,2010,39,1,1,2,1,1,1,0,0,1
9943,2010,53,1,1,2,1,2,1,0,0,1
9949,2010,51,1,1,2,1,1,1,0,0,1
9957,2010,30,2,1,2,1,-1,2,0,0,2
9965,2010,25,1,1,2,1,1,1,0,0,1
9975,2011,50,1,6,2,1,1,2,0,0,2
9977,2011,30,1,6,2,2,2,1,0,0,2
9989,2011,33,1,6,1,1,2,2,0,0,2
9993,2011,33,1,6,2,1,1,2,1,8,2
9996,2011,53,1,6,2,1,1,1,0,0,2
10001,2011,38,1,6,2,1,1,1,0,0,2
10004,2011,53,2,6,2,1,-1,-1,0,0,2
10011,2011,41,1,6,2,1,1,1,1,0,2
10012,2011,58,1,6,2,2,2,2,0,0,2
10013,2011,58,1,6,2,2,2,2,0,0,2
10014,2011,24,1,6,2,2,2,1,0,0,2
10016,2011,22,1,6,2,2,2,2,0,0,2
10017,2011,45,1,6,2,2,2,2,0,0,2
10020,2011,43,1,6,2,2,2,1,0,0,2
10021,2011,48,1,6,2,2,2,1,0,0,2
10046,2011,49,1,6,2,2,1,-1,0,0,2
10052,2011,49,1,6,2,2,2,2,0,0,2
10053,2011,30,1,6,2,1,2,1,0,0,2
10054,2011,38,1,6,2,1,2,1,0,0,2
10055,2011,23,1,6,2,1,-1,1,0,0,2
10056,2011,36,1,6,2,1,1,1,0,0,-1
10057,2011,27,1,6,2,1,1,2,0,0,2
10059,2011,33,1,6,2,2,2,2,0,0,2
10061,2011,48,1,6,2,2,2,2,0,0,2
10065,2011,28,1,6,1,1,-1,-1,0,0,2
10068,2011,26,1,6,2,1,-1,1,0,0,1
10069,2011,21,1,6,1,1,1,1,0,0,2
10070,2011,52,1,6,2,1,2,2,0,0,2
10074,2011,42,1,6,2,1,1,1,0,0,2
10075,2011,47,1,6,2,2,2,2,0,0,2
10076,2011,47,1,6,2,2,2,2,0,0,2
